incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
China Fire,2015,07,29,17,55,212,-122.439939,40.415108,2015,08,01,19,00
Vasco Fire,2015,07,30,11,18,195,-121.68113,37.81629,2015,07,30,16,00
Advance Fire,2015,07,30,12,40,86,-118.9009,36.49845,2015,08,05,17,45
Sprig Fire,2015,07,30,12,57,90,-122.20109,40.49865,2015,07,31,18,30
Mendocino Lightning Fires,2015,07,30,13,36,50,-123.36316,39.43301,2015,08,03,08,55
Frog Fire,2015,07,30,17,45,4863,-121.392,41.399,2015,07,31,20,00
Rough Fire ,2015,07,31,19,00,151623,-118.905,36.874,2015,11,09,12,00
White Fire,2015,08,01,14,32,52,-120.2903,34.9522,2015,08,03,09,50
Fern Fire,2015,08,02,03,00,75,-121.93244,40.67868,2015,08,04,18,00
Dodge Fire,2015,08,03,14,15,10570,-120.105,40.938,2015,08,04,10,37
Point Fire,2015,08,03,14,28,59,-122.40546,40.3929,2015,08,04,08,15
Francis Fire,2015,08,03,18,07,30,-121.18735,39.33303,2015,08,05,07,30
36 Fire,2015,08,08,14,55,110,-121.7786799,40.3506868,2015,08,09,20,30
De Luz Fire,2015,08,09,08,22,55,-117.2886249,33.4115972,2015,08,10,15,05
Jerusalem Fire,2015,08,09,15,34,25118,-122.4867319,38.8142503,2015,08,25,06,45
Anza Fire,2015,08,10,11,44,500,-116.5387,33.5736,2015,08,15,17,30
Mark Fire,2015,08,13,16,15,114,-120.5577,38.052,2015,08,18,07,15
Tulloch Fire,2015,08,15,16,11,112,-120.61691,37.83618,2015,08,16,19,20
Cuesta Fire,2015,08,16,18,13,2446,-120.6269,35.3477,2015,08,28,18,15
Horse Fire,2015,08,18,18,30,146,-124.0720419,40.1058823,2015,08,29,07,00
Tesla Fire,2015,08,19,14,45,2850,-121.3732,37.3845,2015,08,22,18,30
Peterson Fire,2015,08,22,17,30,215,-122.879272,38.925764,2015,08,27,15,15
Summit Fire,2015,08,23,12,25,55,-116.883,34.23,2015,09,11,15,00
Grade Fire,2015,08,24,12,12,22,-122.53428,38.831478,2015,08,25,18,30
Democrat Fire,2015,08,25,14,08,128,-122.96174,40.724898,2015,08,29,18,45
Kramer Fire ,2015,08,29,16,06,30,-121.194256,41.12362,2015,08,30,08,00
Olive Fire,2015,09,02,13,18,72,-121,26.42,2015,09,03,19,35
Elk Fire,2015,09,02,14,57,673,-122,55.23,2015,09,08,19,28
Oak Fire,2015,09,08,13,23,108,-120.30188,38.04684,2015,09,15,19,15
Browns Fire,2015,09,08,15,56,35,41.46,40,2015,09,10,17,05
Center Fire,2015,09,09,14,12,40,-120.553075,40.400196,2015,09,10,07,49
Butte Fire,2015,09,09,14,26,70868,-120.70418,38.32974,2015,10,15,19,45
Creek Fire,2015,09,09,14,30,170,-120.553075,40.400196,2015,09,11,19,17
Lumpkin Fire,2015,09,11,14,15,1040,-121.3363,39.5218,2015,09,17,19,30
Walker Fire,2015,09,11,15,08,109,-122.52541,40.47512,2015,09,13,10,15
Tassajara Fire,2015,09,19,15,00,1086,-121.589554,36.3699644,2015,09,27,18,15
Laureles Fire,2015,09,19,15,25,95,-121.7556029,36.5696373,2015,09,21,18,20
McCourtney Fire,2015,09,22,07,00,30,-121.194,39.081,2015,09,21,14,36
